workclass,education,marital-status,occupation,relationship,race
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White
 Private, HS-grad, Divorced, Sales, Own-child, White
 Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White
 Private, 9th, Never-married, Sales, Not-in-family, White
 Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White
 Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Divorced, Craft-repair, Unmarried, White
 Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black
 Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander
 Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White
 Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White
 Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White
 Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White
 Private, Some-college, Never-married, Tech-support, Own-child, White
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 ?, 10th, Never-married, ?, Own-child, White
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White
 Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White
 Private, Bachelors, Never-married, Sales, Other-relative, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White
 Private, Some-college, Married-civ-spouse, Sales, Wife, White
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White
 Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White
 Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White
 Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White
 Private, Some-college, Never-married, Other-service, Own-child, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Bachelors, Never-married, Exec-managerial, Own-child, Black
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Never-married, Other-service, Own-child, Black
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White
 Private, Some-college, Never-married, Adm-clerical, Own-child, White
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White
 ?, HS-grad, Married-civ-spouse, ?, Husband, White
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White
 Private, Assoc-acdm, Never-married, Sales, Not-in-family, White
 Private, HS-grad, Never-married, Other-service, Not-in-family, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black
 Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White
 Private, Some-college, Never-married, Sales, Own-child, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Never-married, Sales, Own-child, White
 Private, Some-college, Never-married, Other-service, Own-child, White
 Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White
 Private, Some-college, Never-married, Tech-support, Other-relative, White
 Private, HS-grad, Never-married, Transport-moving, Unmarried, Black
 Private, Some-college, Married-civ-spouse, Other-service, Husband, White
 Private, HS-grad, Widowed, Other-service, Unmarried, White
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White
 ?, Some-college, Divorced, ?, Not-in-family, White
 Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White
 Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander
 Private, HS-grad, Never-married, Craft-repair, Own-child, White
 ?, HS-grad, Divorced, ?, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White
 Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White
 Private, Bachelors, Separated, Other-service, Other-relative, Black
 ?, 1st-4th, Divorced, ?, Not-in-family, White
 Private, HS-grad, Never-married, Other-service, Unmarried, White
 Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander
 Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander
 Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White
 Private, Some-college, Divorced, Other-service, Unmarried, White
 Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White
 State-gov, Masters, Widowed, Protective-serv, Unmarried, White
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White
 Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White
 Private, HS-grad, Never-married, Other-service, Not-in-family, White
 State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, Bachelors, Never-married, Craft-repair, Not-in-family, White
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White
 Private, HS-grad, Never-married, Craft-repair, Own-child, Black
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black
 Private, HS-grad, Never-married, Other-service, Own-child, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White
 Private, Some-college, Never-married, Craft-repair, Not-in-family, Black
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black
 Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White
 ?, Bachelors, Divorced, ?, Not-in-family, White
 Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White
 Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White
 Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White
 Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White
 Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White
 Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White
 Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White
 ?, HS-grad, Never-married, ?, Own-child, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White
 State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White
 Private, 11th, Never-married, Sales, Own-child, White
 Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White
 Private, 11th, Never-married, Sales, Own-child, White
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
 Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black
 Private, Assoc-acdm, Divorced, Sales, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, 10th, Never-married, Craft-repair, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White
 ?, 1st-4th, Divorced, ?, Not-in-family, White
 Private, HS-grad, Never-married, Other-service, Not-in-family, Black
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black
 Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White
 Private, HS-grad, Never-married, Sales, Own-child, White
 ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White
 Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White
 Private, 11th, Separated, Transport-moving, Not-in-family, Black
 Private, HS-grad, Divorced, Sales, Unmarried, Black
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White
 Private, Some-college, Divorced, Craft-repair, Other-relative, Other
 Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White
 State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White
 State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Never-married, Transport-moving, Own-child, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White
 State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White
 ?, Some-college, Never-married, ?, Own-child, White
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Private, HS-grad, Never-married, Other-service, Not-in-family, White
 Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black
 Local-gov, 10th, Widowed, Other-service, Unmarried, Black
 Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White
 Private, Some-college, Never-married, Transport-moving, Not-in-family, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander
 Private, HS-grad, Never-married, Other-service, Own-child, White
 Private, HS-grad, Separated, Other-service, Not-in-family, White
 Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White
 Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White
 Private, Bachelors, Divorced, Prof-specialty, Own-child, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Private, 11th, Never-married, Other-service, Own-child, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
 ?, Some-college, Never-married, ?, Own-child, White
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, 9th, Never-married, Other-service, Own-child, White
 Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White
 Local-gov, Masters, Never-married, Prof-specialty, Own-child, White
 Private, HS-grad, Divorced, Prof-specialty, Own-child, White
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Never-married, Exec-managerial, Not-in-family, White
 Private, Some-college, Never-married, Tech-support, Own-child, White
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White
 Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, Assoc-acdm, Divorced, Sales, Unmarried, Black
 Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White
 Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Divorced, Other-service, Not-in-family, White
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White
 Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White
 Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White
 Private, Some-college, Never-married, Sales, Own-child, White
 Private, Bachelors, Never-married, Tech-support, Unmarried, Black
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White
 ?, Masters, Married-civ-spouse, ?, Wife, Asian-Pac-Islander
 Private, HS-grad, Never-married, Craft-repair, Own-child, White
 Private, HS-grad, Divorced, Sales, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White
 Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White
 Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White
 Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White
 Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White
 Private, Bachelors, Never-married, Sales, Not-in-family, White
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
 ?, Some-college, Never-married, ?, Own-child, Black
 Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, Black
 Private, Some-college, Never-married, Sales, Own-child, White
 Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Other-relative, White
 Private, Some-college, Never-married, Tech-support, Not-in-family, White
 Private, HS-grad, Widowed, Other-service, Not-in-family, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Divorced, Transport-moving, Not-in-family, White
 Private, 11th, Never-married, Exec-managerial, Not-in-family, White
 Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White
 ?, Assoc-voc, Never-married, ?, Own-child, Black
 Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White
 Private, HS-grad, Never-married, Transport-moving, Not-in-family, White
 Private, Some-college, Never-married, Craft-repair, Not-in-family, Black
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White
 Private, Assoc-voc, Never-married, Other-service, Not-in-family, White
 Local-gov, 10th, Married-civ-spouse, Adm-clerical, Husband, White
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 Private, 5th-6th, Never-married, Other-service, Other-relative, White
 Private, HS-grad, Never-married, Craft-repair, Other-relative, White
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White
 Private, HS-grad, Never-married, Sales, Unmarried, Black
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black
 Private, Assoc-acdm, Never-married, Sales, Not-in-family, White
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White
 State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White
 Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White
 State-gov, Some-college, Never-married, Protective-serv, Own-child, Black
 Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White
 ?, 11th, Married-civ-spouse, ?, Husband, White
 ?, Assoc-voc, Divorced, ?, Unmarried, White
 Private, Assoc-acdm, Married-spouse-absent, Other-service, Not-in-family, White
 Private, Bachelors, Never-married, Prof-specialty, Own-child, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, 11th, Married-civ-spouse, Transport-moving, Husband, White
 ?, Bachelors, Married-civ-spouse, ?, Husband, White
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Private, 11th, Widowed, Other-service, Unmarried, Other
 Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White
 Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White
 Private, 10th, Married-civ-spouse, Other-service, Wife, White
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White
 Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, Assoc-acdm, Never-married, Sales, Not-in-family, White
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White
 Private, HS-grad, Divorced, Sales, Unmarried, White
 Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White
 Private, 11th, Never-married, Other-service, Own-child, White
 State-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black
 Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White
 Private, Some-college, Never-married, Sales, Not-in-family, White
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Private, HS-grad, Divorced, Transport-moving, Not-in-family, White
 Private, 5th-6th, Divorced, Craft-repair, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Divorced, Sales, Not-in-family, White
 Local-gov, Some-college, Married-civ-spouse, Transport-moving, Wife, White
 Private, HS-grad, Never-married, Other-service, Not-in-family, White
 Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White
 Private, Some-college, Never-married, Adm-clerical, Own-child, White
 Private, HS-grad, Never-married, Other-service, Other-relative, White
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, White
 Private, Bachelors, Never-married, Craft-repair, Not-in-family, White
 Self-emp-not-inc, Assoc-acdm, Separated, Craft-repair, Not-in-family, White
 State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Never-married, Other-service, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White
 Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White
 ?, HS-grad, Never-married, ?, Other-relative, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, White
 Private, Some-college, Never-married, Other-service, Not-in-family, White
 State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White
 Private, Assoc-voc, Divorced, Tech-support, Not-in-family, White
 Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, Other
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 ?, Some-college, Married-civ-spouse, ?, Wife, White
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Some-college, Divorced, Other-service, Not-in-family, Black
 Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black
 Private, Some-college, Divorced, Exec-managerial, Unmarried, White
 Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White
 State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, 12th, Divorced, Craft-repair, Not-in-family, White
 Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, 11th, Never-married, Other-service, Own-child, White
 Local-gov, 11th, Separated, Machine-op-inspct, Not-in-family, Black
 State-gov, HS-grad, Divorced, Transport-moving, Unmarried, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White
 State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White
 Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White
